#TYPE System.Management.Automation.PSCustomObject
"Port","Protocol","H1","Description","Status"
"0","","UDP","Reserved","Port is officialy registered by IANA for this application"
"1","TCP","UDP","TCP Port Service Multiplexer","Port is officialy registered by IANA for this application"
"","","","(TCPMUX)",""
"2","TCP","UDP","CompressNET 2 Management Utility 3","Port is officialy registered by IANA for this application"
"3","TCP","UDP","CompressNET 2 Compression Process 4","Port is officialy registered by IANA for this application"
"4","TCP","UDP","Unassigned","Port is officialy registered by IANA for this application"
"5","TCP","UDP","Remote Job Entry","Port is officialy registered by IANA for this application"
"7","TCP","UDP","Echo Protocol","Port is officialy registered by IANA for this application"
"8","TCP","UDP","Unassigned","Port is officialy registered by IANA for this application"
"9","TCP","UDP","Discard Protocol","Port is officialy registered by IANA for this application"
"10","TCP","UDP","Unassigned","Port is officialy registered by IANA for this application"
"11","TCP","UDP","Active Users (systat service)","Port is officialy registered by IANA for this application"
"","","","5 6",""
"12","TCP","UDP","Unassigned","Port is officialy registered by IANA for this application"
"13","TCP","UDP","Daytime Protocol (RFC 867)","Port is officialy registered by IANA for this application"
"14","TCP","UDP","Unassigned","Port is officialy registered by IANA for this application"
"15","TCP","UDP","Previously netstat service","Port is not officialy registered by IANA for this application"
"","","","5",""
"16","TCP","UDP","Unassigned","Port is officialy registered by IANA for this application"
"17","TCP","UDP","Quote of the Day","Port is officialy registered by IANA for this application"
"18","TCP","UDP","Message Send Protocol","Port is officialy registered by IANA for this application"
"19","TCP","UDP","Character Generator Protocol","Port is officialy registered by IANA for this application"
"","","","(CHARGEN)",""
"20","TCP","","FTP?data transfer","Port is officialy registered by IANA for this application"
"21","TCP","","FTP?control (command)","Port is officialy registered by IANA for this application"
"22","TCP","","Secure Shell (SSH)?used","Port is officialy registered by IANA for this application"
"","","","for secure logins, file transfers (scp, sftp) and port forwarding",""
"23","TCP","","Telnet","Port is officialy registered by IANA for this application"
"","","","protocol?unencrypted text communications",""
"24","TCP","UDP","Priv-mail : any private mail","Port is officialy registered by IANA for this application"
"","","","system. citation needed",""
"25","TCP","","Simple Mail Transfer Protocol","Port is officialy registered by IANA for this application"
"","","","(SMTP)?used for e-mail routing between mail servers",""
"26","TCP","UDP","Unassigned","Port is officialy registered by IANA for this application"
"27","TCP","UDP","NSW User System FE citation","Port is officialy registered by IANA for this application"
"","","","needed",""
"29","TCP","UDP","MSG ICP citation needed","Port is officialy registered by IANA for this application"
"33","TCP","UDP","Display Support Protocol","Port is officialy registered by IANA for this application"
"","","","citation needed",""
"34","TCP","UDP","Remote File (RF)?used to","Port is not officialy registered by IANA for this application"
"","","","transfer files between machines citation needed",""
"35","TCP","UDP","Any private printer server","Port is officialy registered by IANA for this application"
"","","","protocol citation needed",""
"37","TCP","UDP","TIME protocol","Port is officialy registered by IANA for this application"
"39","TCP","UDP","Resource Location Protocol","Port is officialy registered by IANA for this application"
"","","","7 (RLP)?used for",""
"","","","determining the location of higher level services from hosts on a network",""
"40","TCP","UDP","Unassigned","Port is officialy registered by IANA for this application"
"42","TCP","UDP","ARPA Host Name Server Protocol","Port is officialy registered by IANA for this application"
"42","TCP","UDP","Windows Internet Name Service","Port is not officialy registered by IANA for this application"
"43","TCP","","WHOIS protocol","Port is officialy registered by IANA for this application"
"47","TCP","UDP","NI FTP 7","Port is officialy registered by IANA for this application"
"49","TCP","UDP","TACACS Login Host protocol","Port is officialy registered by IANA for this application"
"","","","citation needed",""
"50","TCP","UDP","Remote Mail Checking Protocol","Port is officialy registered by IANA for this application"
